,adress
12712,"Московская область, Электросталь, улица Ялагина, 13"
12715,"Московская область, Балашиха, микрорайон Железнодорожный, Пионерская улица, 7с1"
12718,"Московская область, Мытищи, Проектируемый проезд № 497, вл1с5"
12722,"Московская область, Королёв, Полевой проезд, 8А"
12724,"Московская область, Дмитров, Советская улица, 14"
12739,"Московская область, Коломна, улица Яна Грунта, 34"
12741,"Московская область, Ленинский городской округ, село Беседы, Промышленный проезд, 8, стр. 1"
12761,"Московская область, городской округ Солнечногорск, деревня Чёрная Грязь, 2А"
12767,"Московская область, Балашиха, квартал Изумрудный, 2"
12774,"Московская область, Богородский городской округ, Ногинск, улица Горького, 2"
12795,"Московская область, Балашиха, микрорайон Ольгино, Граничная улица, 22"
12820,"Московская область, городской округ Домодедово, деревня Юсупово, Хуторская улица, 8"
12833,"Московская область, Реутов, улица Дзержинского, 22В"
12834,"Московская область, Долгопрудный, Набережная улица, 33"
12836,"Московская область, Балашиха, Покровский проезд, 4"
12842,"Московская область, Мытищи, Лётная улица, 17"
12859,"Московская область, Раменский городской округ, деревня Островцы, Подмосковная улица, 1А"
12864,"Московская область, Клин, улица Механизаторов, 5"
12912,"Московская область, Балашиха, квартал Западная Промзона, шоссе Энтузиастов, 1/2"
12917,"Московская область, Чехов, Весенняя улица, вл34"
12932,"Московская область, Балашиха, Звёздная улица, 7, корп. 1"
12933,"Московская область, Котельники, Дзержинское шоссе, 2/1"
12940,"Московская область, Дзержинский, площадь Дмитрия Донского, 2А"
12952,"Московская область, Воскресенск, Советская улица, 12/10"
12955,"Московская область, Мытищи, улица Терешковой, вл1Бс1"
12958,"Московская область, Мытищи, проспект Астрахова, 2"
12960,"Московская область, Химки, проспект Мира, 13/7"
12986,"Московская область, Павловский Посад, улица Кузьмина, 47Д"
12993,"Московская область, Бронницы, Советская улица, 31, корп. 1"
12996,"Московская область, Ленинский городской округ, Видное, Советский проезд, 3"
13013,"Московская область, Королёв, микрорайон Юбилейный, улица Нестеренко, 14"
13014,"Московская область, Одинцовский городской округ, деревня Лапино, коттеджный посёлок Новое Лапино, с70"
13015,"Московская область, Котельники, Новорязанское шоссе, 8с6"
13042,"Московская область, Раменский район, сельское поселение Новохаритоновское, село Новохаритоново, 232"
13054,"Московская область, Егорьевск, улица Меланжистов, 3Б"
13067,"Московская область, Сергиев Посад, проспект Красной Армии, 123"
13082,"Московская область, Чехов, улица Пушкина, 10"
13094,"Московская область, Клин, Волоколамское шоссе, 44, стр. 1"
13119,"Московская область, Долгопрудный, площадь Собина, 1, корп. 39"
13121,"Московская область, Клин, Волоколамское шоссе, 44"
13124,"Московская область, Ленинский городской округ, посёлок Развилка, 11"
13148,"Московская область, Одинцово, улица Маршала Жукова, 34"
13159,"Московская область, Пушкино, улица Чехова, 15"
13178,"Московская область, Волоколамск, улица Холмогорка, 7А, стр. 1"
13179,"Московская область, городской округ Красногорск, Пятницкое шоссе, 6-й километр, 3"
13183,"Московская область, Химки, Молодёжная улица, 9"
13190,"Московская область, Одинцовский городской округ, деревня Жуковка, 70"
13212,"Московская область, Жуковский, улица Амет-хан Султана, 5А, корп. 1"
13221,"Московская область, Клин, Левонабережная улица, 1"
13244,"Московская область, Раменский городской округ, рабочий посёлок Ильинский, Театральная улица, 9"
13248,"Московская область, Химки, улица 9 Мая, вл20с1"
13263,"Московская область, Подольск, улица Кирова, 61"
13278,"Московская область, Балашиха, микрорайон Железнодорожный, Луговая улица, с1"
13301,"Московская область, Наро-Фоминский городской округ, рабочий посёлок Селятино, 1"
13316,"Московская область, Химки, Нагорное шоссе, 9"
13317,"Московская область, городской округ Мытищи, село Троицкое"
13328,"Московская область, Долгопрудный, Первомайская улица, 9/4"
13334,"Московская область, Балашиха, улица Крупешина, 1"
13344,"Московская область, Клин, Новая улица, 2"
13384,"Московская область, Коломна, улица Зайцева, 23"
13409,"Московская область, Подольск, Подольская улица, 14А"
13417,"Московская область, Королёв, улица Ленина, 2"
13424,"Московская область, Подольск, Парковая улица, 43"
13439,"Московская область, городской округ Люберцы, посёлок Чкалово, Советская улица, 148/2"
13446,"Московская область, Одинцовский городской округ, Звенигород, Парковая улица, 18А"
13449,"Московская область, Рузский городской округ, рабочий посёлок Тучково, улица Дубки-2, 90"
13467,"Московская область, городской округ Домодедово, село Юсупово"
13471,"Московская область, Реутов, 9-й микрорайон"
13492,"Московская область, Одинцовский городской округ, Звенигород, Московская улица, 12"
13498,"Московская область, городской округ Истра, село Павловская Слобода, Октябрьская улица, 1"
13504,"Московская область, Ленинский район, Молоковское сельское поселение, село Остров, Центральная улица"
13507,"Московская область, Чехов, Симферопольское шоссе, 1Б"
13513,"Московская область, Ленинский городской округ, деревня Сапроново, микрорайон Купелинка, квартал Северный, 2"
13523,"Московская область, городской округ Истра, деревня Курово, 1А"
13526,"Московская область, Жуковский, улица Дугина, 17А"
13541,"Московская область, городской округ Шаховская, деревня Новомихайловское, Заречная улица, 48/1"
13548,"Московская область, Дмитровский городской округ, Дмитров, микрорайон имени В.Н. Махалина, 18"
13551,"Московская область, городской округ Люберцы, рабочий посёлок Октябрьский, улица Ленина, 16"
13553,"Московская область, городской округ Солнечногорск, деревня Дубинино, 51С"
13558,"Московская область, Богородский городской округ, Ногинск, улица Леснова, 2, стр. 1"
13560,"Московская область, Люберцы, улица 8 Марта, 54А"
13562,"Московская область, Солнечногорск, улица Ухова, 1"
13571,"Московская область, Красногорск, улица Жуковского, с1"
13574,"Московская область, Одинцовский городской округ, Звенигород, микрорайон Пронина, 15"
13576,"Московская область, Орехово-Зуевский городской округ"
13592,"Московская область, городской округ Люберцы, рабочий посёлок Томилино, микрорайон Птицефабрика, к31/1"
13598,"Московская область, Одинцово, улица Чистяковой, 52"
13599,"Московская область, Ленинский городской округ, Видное, Битцевский проезд, 3"
13610,"Московская область, Черноголовка, Школьный бульвар, 23"
13627,"Московская область, Пушкино, микрорайон Заветы Ильича"
13630,"Московская область, Клин, улица Мира, 58/25"
13641,"Московская область, городской округ Мытищи, деревня Красная Горка, ДНТ Природа, 9"
13657,"Московская область, Лосино-Петровский, улица Кирова, 9"
13662,"Московская область, Люберцы, улица Юности, 4"
13687,"Московская область, Домодедово, микрорайон Барыбино, 1-я Вокзальная улица, 18"
13700,"Московская область, городской округ Красногорск, деревня Путилково, Сходненская улица, 8"
13708,"Московская область, Фрязино, Полевая улица, 6"
13722,"Московская область, Волоколамск, микрорайон Привокзальный, Волоколамская улица, 1"
13727,"Московская область, Долгопрудный, Старое Дмитровское шоссе, 13, корп. 2"
13730,"Московская область, Солнечногорск, микрорайон Рекинцо-2, Молодёжная улица, 1"
13732,"Московская область, Реутов, Юбилейный проспект, 37"
13734,"Московская область, городской округ Домодедово, посёлок Государственного племенного завода Константиново, Объездной проезд, 4, стр. 2"
13738,"Московская область, Можайск, улица Воинов-Интернационалистов, 21"
13741,"Московская область, Сергиев Посад, Инженерная улица, 8"
13748,"Московская область, городской округ Мытищи, деревня Грибки, Промышленная улица, 5/1"
13749,"Московская область, Луховицы, улица Жуковского, 27Б"
13751,"Московская область, городской округ Лосино-Петровский, посёлок Аничково, 7"
13754,"Московская область, Одинцовский городской округ, деревня Барвиха, Рублёво-Успенское шоссе, 8-й километр, 114"
13757,"Московская область, Домодедово, микрорайон Северный, Логистическая улица, 1/3"
13761,"Московская область, Пушкино, 1-я Серебрянская улица, 21"
13789,"Московская область, Воскресенск, микрорайон Центральный, Октябрьская улица, 13"
13791,"Московская область, Химки, улица Гоголя, 9"
13796,"Московская область, Балашиха, микрорайон Железнодорожный, улица Корнилаева, 1"
13800,"Московская область, Пушкино, Московский проспект, 59"
13803,"Московская область, городской округ Истра, деревня Сокольники, улица Художников, 65"
13823,"Московская область, Наро-Фоминск, микрорайон Южный, улица Ленина, 7"
13824,"Московская область, Электросталь, бульвар 60-летия Победы, 14"
13841,"Московская область, Одинцовский городской округ, рабочий посёлок Заречье, Торговая улица, с2"
13843,"Московская область, Щёлково, микрорайон Щёлково-3, Лесная улица"
13847,"Московская область, Ленинский городской округ, Видное, Берёзовая улица, 8А"
13848,"Московская область, Электросталь, улица Ялагина, 3"
13859,"Московская область, Электросталь, проспект Ленина, 33/15"
13863,"Московская область, Богородский городской округ, село Стромынь, микрорайон Ногинск-9, Юбилейная улица, 11"
13875,"Московская область, Дмитровский городской округ, рабочий посёлок Деденево, Вокзальная улица, 23Б"
13879,"Московская область, Люберцы, микрорайон Городок Б, улица 3-е Почтовое Отделение, 59"
13901,"Московская область, городской округ Коломна, М-5 Урал, 100-й километр, 1Е"
13903,"Московская область, Домодедово, микрорайон Центральный, Советская улица, 1"
13908,"Московская область, Подольск, Домодедовское шоссе, 2"
13924,"Московская область, Красногорск, улица Ткацкой фабрики, 23А"
13932,"Московская область, Сергиево-Посадский городской округ, деревня Федорцово, 36"
13936,"Московская область, Подольск, проспект Юных Ленинцев, 67"
13941,"Московская область, Лыткарино, проезд Шестакова, с2"
13942,"Московская область, Орехово-Зуево, Пролетарская улица, 18А"
13943,"Московская область, Раменское, улица Михалевича, 3А"
13944,"Московская область, Дмитровский городской округ, Яхрома, микрорайон Левобережье, 49, стр. 1"
13951,"Московская область, Сергиево-Посадский городской округ, СНП Удачное, Озёрная улица, 3"
13962,"Московская область, Одинцовский городской округ, Звенигород, Московская улица, 7/9"
13968,"Московская область, Балашиха, микрорайон ЦОВБ, 20"
13995,"Московская область, Красногорск, Советская улица, 15"
14005,"Московская область, Люберцы, улица Митрофанова, 21Б"
14009,"Московская область, Воскресенск, микрорайон Центральный, Октябрьская улица, 8"
14022,"Московская область, Наро-Фоминский городской округ, рабочий посёлок Селятино, Клубная улица, 4"
14028,"Московская область, городской округ Красногорск, деревня Гольёво, улица Красная Слободка, 47"
14040,"Московская область, Долгопрудный, Якорная улица, 2"
14060,"Московская область, Клин, улица Карла Маркса, 2А"
14079,"Московская область, Истра, улица 9-й Гвардейской Дивизии, 51"
14112,"Московская область, Жуковский, улица Фрунзе, 28"
14128,"Московская область, Наро-Фоминск, Кубинское шоссе, 5"
14148,"Московская область, Ленинский городской округ, Видное, Советская улица, вл10/1"
14168,"Московская область, городской округ Солнечногорск, деревня Радумля, микрорайон ММС-2, 1, стр. 1"
14171,"Московская область, Подольск, улица Барамзиной, 3, корп. 2"
14172,"Московская область, Пушкинский городской округ, рабочий посёлок Правдинский, улица Герцена, 30к2"
14192,"Московская область, Химки, улица Кирова, 24"
14196,"Московская область, Протвино, СНТ Радуга"
14201,"Московская область, Красногорск, Речная улица, 29"
14209,"Московская область, городской округ Красногорск, рабочий посёлок Нахабино, улица Победы, 3, стр. 1"
14214,"Московская область, Балашиха, микрорайон Ольгино, Главная улица, 2"
14223,"Московская область, Чехов, улица Чехова, 4А, стр. 1"
14239,"Московская область, Павловский Посад, Большая Покровская улица, 47А"
14254,"Московская область, Фрязино, Московская улица, 2В"
14262,"Московская область, Шатура, Больничный проезд, 2"
14269,"Московская область, Электросталь, Октябрьская улица, 21"
14280,"Московская область, Красногорск, Успенская улица, 5"
14281,"Московская область, Сергиев Посад, Сергиевская улица, 1А"
14295,"Московская область, Жуковский, улица Королёва, 6, стр. 2"
14319,"Московская область, Долгопрудный, проспект Пацаева, 7, корп. 2"
14341,"Московская область, Люберцы, Инициативная улица, 46"
14343,"Московская область, городской округ Клин, деревня Боблово, 11"
14356,"Московская область, Богородский городской округ, Ногинск, улица Бабушкина, 3А"
14366,"Московская область, Рузский городской округ, рабочий посёлок Тучково, Советская улица, 17А"
14372,"Московская область, Дмитровский городской округ, Дмитров, Загорская улица, 22"
14382,"Московская область, Жуковский, улица Амет-хан Султана, 15, корп. 3"
14391,"Московская область, городской округ Шаховская, рабочий посёлок Шаховская, Комсомольская улица, 10Б"
14397,"Московская область, Королёв, проспект Королёва, 3"
14418,"Московская область, Дмитров, микрорайон имени В.Н. Махалина, 11"
14445,"Московская область, Химки, улица 9 Мая, 12Б"
14466,"Московская область, Мытищи, улица Семашко, 23, корп. 1"
14487,"Московская область, Балашиха, микрорайон 1 Мая, 17"
14523,"Московская область, Люберцы, улица Дружбы, 1, корп. 1"
14526,"Московская область, Королёв, проспект Космонавтов, 34Б"
14543,"Московская область, Волоколамский городской округ, коттеджный посёлок Ильинские пруды"
14548,"Московская область, Богородский городской округ, Ногинск, Горьковское шоссе, 52-й километр, вл2"
14551,"Московская область, городской округ Коломна, Озёры, Коммунистическая площадь, 37А"
14552,"Московская область, Раменское, улица Приборостроителей, 1А"
14553,"Московская область, Балашиха, микрорайон Новое Павлино, улица Бояринова, 19"
14555,"Московская область, Чехов, Вокзальная площадь, 8"
14558,"Московская область, городской округ Солнечногорск, деревня Брёхово, микрорайон Школьный, к10"
14567,"Московская область, Химки, Молодёжная улица, 74"
14571,"Московская область, Дубна, проспект Боголюбова, 21"
14578,"Московская область, Сергиев Посад, Железнодорожная улица, 37А"
14581,"Московская область, Дмитров, улица Космонавтов, 56"
14588,"Московская область, Балашиха, проспект Ленина, 23/5"
14589,"Московская область, Дмитров, Профессиональная улица, 22, корп. 1"
14591,"Московская область, Люберцы, территория СНТ Зелёная Зона, 97"
14592,"Московская область, Королёв, улица Фрунзе, 1А"
14615,"Московская область, Сергиево-Посадский городской округ, посёлок Ситники, 15"
14630,"Московская область, Балашиха, микрорайон Железнодорожный, Пионерская улица, 26Б"
14651,"Московская область, Одинцовский городской округ, рабочий посёлок Новоивановское, Можайское шоссе, 165, стр. 1"
14658,"Московская область, городской округ Солнечногорск, деревня Голубое, Тверецкий проезд, 16, корп. 3"
14659,"Московская область, Сергиево-Посадский городской округ, деревня Лешково, 77"
14660,"Московская область, Сергиев Посад, посёлок Птицеград, Птицеградская улица, 2Б"
14663,"Московская область, Коломна, улица Девичье Поле, 10А"
14664,"Московская область, рабочий посёлок Лотошино, улица Калинина, 9"
14666,"Московская область, Балашиха, микрорайон Керамик, Береговая улица, 4А"
14679,"Московская область, Щёлково, Советская улица, 16"
14689,"Московская область, Наро-Фоминск, микрорайон Московский"
14701,"Московская область, Жуковский, Молодёжная улица, 9"
14721,"Московская область, Ленинский городской округ, рабочий посёлок Дрожжино, Южная улица, 3, корп. 4"
14742,"Московская область, Одинцовский городской округ, деревня Жуковка, 123Б"
14754,"Московская область, Балашиха, микрорайон Железнодорожный, улица Струве, 6"
14763,"Московская область, Балашиха, микрорайон Никольско-Архангельский, улица Сосновый Бор, 2А"
14772,"Московская область, Домодедово, улица Корнеева, 12"
14785,"Московская область, Балашиха, Трубецкая улица, 50А"
14793,"Московская область, городской округ Щёлково, дачный посёлок Загорянский, улица Дзержинского, 1А"
14798,"Московская область, городской округ Пушкинский, Ивантеевка, Центральный проезд, 7"
14801,"Московская область, Королёв, микрорайон Болшево, улица Бурково, 37, корп. 1"
14822,"Московская область, Электросталь, проспект Ленина, 20"
14856,"Московская область, городской округ Красногорск, рабочий посёлок Нахабино, улица Белобородова, 8"
14858,"Московская область, Домодедово, микрорайон Северный, Советская улица, 50"
14868,"Московская область, городской округ Воскресенск, Белоозёрский, Коммунальная улица, 10"
14876,"Московская область, городской округ Серпухов, деревня Лукьяново, Высокая улица, 1"
14882,"Московская область, Одинцово, Можайское шоссе, 151"
14907,"Московская область, Жуковский, улица Гагарина, 60А"
14908,"Московская область, Балашиха, микрорайон Дзержинского, 20"
14921,"Московская область, Раменский городской округ, садовое некоммерческое товарищество Горняк-2"
14927,"Московская область, Химки, квартал Старбеево, улица Лизы Чайкиной, 2Б, стр. 1"
14931,"Московская область, Балашиха, Трубецкая улица, 102"
14942,"Московская область, городской округ Воскресенск, деревня Чемодурово, Шоссейная улица, 24"
14967,"Московская область, Протвино, улица Ленина, 1А"
14969,"Московская область, Одинцовский городской округ, село Успенское, с31А"
14972,"Московская область, городской округ Домодедово, посёлок санатория Подмосковье, с25к1"
14973,"Московская область, Люберцы, Некрасовский проезд, 7А"
14978,"Московская область, Богородский городской округ, Старая Купавна, улица Кирова, 2А"
14981,"Московская область, Сергиево-Посадский городской округ, Хотьково, 1-я Больничная улица, 12А"
14990,"Московская область, Мытищи, улица Селезнёва"
14999,"Московская область, Одинцово, улица Маршала Жукова, 32"
15008,"Московская область, Дмитровский городской округ, деревня Лучинское, 65"
15035,"Московская область, Электросталь, улица Захарченко, 6"
15039,"Московская область, Одинцовский городской округ, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Драйв"
15063,"Московская область, городской округ Коломна, село Черкизово, 20"
15069,"Московская область, Наро-Фоминский городской округ, рабочий посёлок Калининец, Заречная улица"
15082,"Московская область, Наро-Фоминский городской округ, рабочий посёлок Селятино, Спортивная улица, 5/1"
15086,"Московская область, городской округ Красногорск, посёлок Отрадное, Пятницкая улица, 12"
15098,"Московская область, Павловский Посад, улица Кузьмина, 31В"
15101,"Московская область, городской округ Балашиха, квартал Черновская промзона, Восточное шоссе, вл1"
15104,"Московская область, Балашиха, микрорайон Ольгино, Главная улица, 22"
15108,"Московская область, Мытищи, Новомытищинский проспект, 52с11"
15110,"Московская область, Электросталь, улица Победы, 6, корп. 1А"
15111,"Московская область, Котельники, микрорайон Южный, 14"
15130,"Московская область, Одинцовский городской округ, Звенигород, Парковая улица, 22А"
15142,"Московская область, Одинцовский городской округ, деревня Зайцево, Кокошкинское шоссе, 12, стр. 2"
15144,"Московская область, Чехов, улица Полиграфистов, 1"
15165,"Московская область, Наро-Фоминск, Кубинское шоссе, с22"
15174,"Московская область, Клин, Ленинградское шоссе, 88-й километр, стр. 100"
15196,"Московская область, Королёв, улица Болдырева, 3"
15208,"Московская область, Реутов, Новая улица, 2"
15210,"Московская область, Одинцовский городской округ, Кубинка, улица Сосновка"
15215,"Московская область, Жуковский, улица Гудкова, 3Б"
15220,"Московская область, Коломна, улица Гаврилова, 2"
15225,"Московская область, Королёв, микрорайон Юбилейный, Лесная улица, 16"
15229,"Московская область, Красногорск, Павшинский бульвар, 28"
15233,"Московская область, Сергиево-Посадский городской округ, ТСН ДНТ Абрамцево-3, 35"
15239,"Московская область, Раменский городской округ, дачный посёлок Удельная, улица Горячева, 11А"
15248,"Московская область, Химки, Ленинский проспект, 1, корп. 2"
15268,"Московская область, Сергиев Посад, Свято-Троицкая Сергиева лавра"
15275,"Московская область, городской округ Красногорск, село Ангелово, жилой комплекс Ангелово-Резиденц"
15285,"Московская область, Котельники, 1-й Покровский проезд, 1"
15287,"Московская область, Раменское, Северное шоссе, 42"
15288,"Московская область, Мытищи, проспект Астрахова, 12А"
15293,"Московская область, Красногорск, Ильинский бульвар, 9"
15305,"Московская область, городской округ Домодедово, посёлок Государственного племенного завода Константиново"
15328,"Московская область, Одинцовский городской округ, рабочий посёлок Новоивановское, Западная улица, 181"
15342,"Московская область, городской округ Пушкинский, М-8 Холмогоры, 33-й километр, с18"
15354,"Московская область, Дмитров, микрорайон имени В.Н. Махалина, 13"
15367,"Московская область, городской округ Ступино, рабочий посёлок Михнево, Вокзальная улица, 5"
15373,"Московская область, городской округ Луховицы, село Алпатьево, Санаторная улица, 1"
15374,"Московская область, Щёлково, микрорайон Богородский, 5"
15376,"Московская область, городской округ Истра, деревня Ремянники, Луговая улица, 12"
15391,"Московская область, Одинцовский городской округ, дачный посёлок Лесной Городок, Фасадная улица, 6"
15403,"Московская область, Королёв, улица Горького, 79, корп. 4"
15420,"Московская область, Талдомский городской округ, рабочий посёлок Запрудня, Первомайская улица, 57А"
15433,"Московская область, городской округ Щёлково, село Петровское"
15451,"Московская область, Электросталь, улица Мира, 6"
15455,"Московская область, городской округ Истра, деревня Борзые, Невская улица, 704"
15459,"Московская область, Королёв, микрорайон Юбилейный, Ленинская улица, 14"
15462,"Московская область, Мытищи, Трудовая улица, 33"
15466,"Московская область, Чехов, Уездная улица, 10"
15469,"Московская область, Ленинский городской округ, Видное, Олимпийская улица, 6"
15475,"Московская область, Дмитровский городской округ, посёлок Кузяево, 7"
15476,"Московская область, Подольск, Февральская улица, 57"
15479,"Московская область, Егорьевск"
15480,"Московская область, городской округ Мытищи, Мытищинский лесопарк"
15485,"Московская область, Химки, улица Пожарского, 2"
15489,"Московская область, Пушкино, Набережная улица, 2А"
15495,"Московская область, Люберцы, микрорайон Городок Б, улица 3-е Почтовое Отделение"
15499,"Московская область, городской округ Воскресенск, Белоозёрский, Коммунальная улица, 16В"
15503,"Московская область, Ленинский городской округ, рабочий посёлок Дрожжино, Южная улица, 19, корп. 1"
15504,"Московская область, городской округ Солнечногорск, коттеджный посёлок Марусин Луг, 18"
15538,"Московская область, Химки, проспект Мельникова, с2Д"
15551,"Московская область, Истра, улица Панфилова, 46"
15554,"Московская область, Пушкино, Ярославское шоссе, 4А"
15567,"Московская область, Одинцовский городской округ, деревня Раздоры, улица Липовой Рощи, 1, корп. 1"
15568,"Московская область, Раменский городской округ, сельское поселение Гжельское"
15569,"Московская область, Пушкино, Акуловское шоссе, 10Б"
15575,"Московская область, Раменский городской округ, квартал 20392, 983"
15579,"Московская область, Дубна, набережная Менделеева"
15596,"Московская область, Одинцовский городской округ, село Юдино, Можайское шоссе, 55Б, стр. 2"
15599,"Московская область, городской округ Красногорск, посёлок Архангельское, территория Музей-заповедник Архангельское, 19"
15600,"Московская область, Коломна, улица Октябрьской Революции, 192А"
15622,"Московская область, Орехово-Зуево, улица 1905 года, 17А"
15623,"Московская область, Подольск, Железнодорожная улица, 18"
15627,"Московская область, Одинцовский городской округ, Кубинка, Колхозная улица, 32Б"
15676,"Московская область, Ленинский городской округ, Видное, Берёзовая улица, 1, стр. 4"
15689,"Московская область, Долгопрудный, проспект Пацаева, 12"
15697,"Московская область, Домодедово, микрорайон Западный, Лунная улица"
15701,"Московская область, Красногорск, Речная улица, 25А"
15726,"Московская область, Ленинский городской округ, деревня Мисайлово, Пригородное шоссе, 7"
15739,"Московская область, городской округ Зарайск, деревня Карино, Советская улица, 1"
15778,"Московская область, Ленинский городской округ, деревня Сапроново, 2"
15779,"Московская область, Красногорск, Подмосковный бульвар, 1"
15787,"Московская область, городской округ Красногорск, посёлок Отрадное, вл2с1А"
15791,"Московская область, городской округ Люберцы, рабочий посёлок Октябрьский, Первомайская улица, 20, стр. 1"
15793,"Московская область, Раменский городской округ, дачный посёлок Кратово, улица Островского, 2А"
15798,"Московская область, Красногорск, Ильинский тупик, 6"
15801,"Московская область, Подольск, улица Академика Доллежаля, 26"
15803,"Московская область, городской округ Красногорск, деревня Путилково, Спасо-Тушинский бульвар, 3"
15805,"Московская область, Дмитров, Профессиональная улица, 25А"
15809,"Московская область, городской округ Красногорск, деревня Гольёво, Центральная улица, 76Б"
15812,"Московская область, Клин, улица Гагарина, 7/13"
15845,"Московская область, Волоколамск, улица Ленина, 111"
15856,"Московская область, Мытищи, улица Мира, 4"
15863,"Московская область, городской округ Домодедово, М-4 Дон, 62-й километр, вл1"
15867,"Московская область, Реутов, улица Октября, 52"
15892,"Московская область, Воскресенск, улица Суворова, 1/1"
15893,"Московская область, Балашиха, микрорайон Железнодорожный, Пионерская улица, 2А"
15894,"Московская область, городской округ Щёлково, деревня Медвежьи Озёра, 65А, стр. 1"
15895,"Московская область, Богородский городской округ, посёлок Новостройка, 4А"
15903,"Московская область, Одинцовский городской округ, Минское шоссе, 47-й километр, 45"
15914,"Московская область, городской округ Клин, деревня Чернятино"
15919,"Московская область, Коломна, Советская площадь, 8"
15934,"Московская область, Химки, улица Академика Грушина, 4"
15936,"Московская область, Серпухов, улица Чехова, 87"
15947,"Московская область, Химки, улица Ватутина, 4, корп. 1"
15952,"Московская область, городской округ Лосино-Петровский, посёлок Аничково, 1"
15953,"Московская область, Ленинский городской округ, рабочий посёлок Дрожжино, Новое шоссе, 14"
15956,"Московская область, Коломна, улица Зайцева, 14"
15961,"Московская область, Реутов, Носовихинское шоссе, 12"
15967,"Московская область, Дмитровский городской округ, Яхрома, микрорайон Левобережье, 15"
